,Avg pct similar neighbors,Intolerance,wealth_intolerance
0,0.0,0.75,0.25
1,0.0,0.75,0.25
2,64.8,0.75,0.25
3,69.9,0.75,0.25
4,71.6,0.75,0.25
5,73.1,0.75,0.25
6,73.4,0.75,0.25
7,74.5,0.75,0.25
8,74.2,0.75,0.25
9,73.4,0.75,0.25
10,76.3,0.75,0.25
11,75.3,0.75,0.25
12,74.7,0.75,0.25
13,73.8,0.75,0.25
14,74.2,0.75,0.25
15,74.4,0.75,0.25
16,73.4,0.75,0.25
17,71.3,0.75,0.25
18,72.7,0.75,0.25
19,72.0,0.75,0.25
20,74.2,0.75,0.25
21,73.1,0.75,0.25
22,73.7,0.75,0.25
23,74.7,0.75,0.25
24,76.1,0.75,0.25
25,76.2,0.75,0.25
26,74.7,0.75,0.25
27,77.6,0.75,0.25
28,76.7,0.75,0.25
29,75.5,0.75,0.25
30,73.6,0.75,0.25
31,73.8,0.75,0.25
32,73.1,0.75,0.25
33,75.0,0.75,0.25
34,76.9,0.75,0.25
35,75.1,0.75,0.25
36,77.5,0.75,0.25
37,76.5,0.75,0.25
38,76.4,0.75,0.25
39,75.2,0.75,0.25
40,74.0,0.75,0.25
41,76.4,0.75,0.25
42,74.1,0.75,0.25
43,73.7,0.75,0.25
44,73.9,0.75,0.25
45,74.3,0.75,0.25
46,74.7,0.75,0.25
47,76.3,0.75,0.25
48,74.9,0.75,0.25
49,76.5,0.75,0.25
50,77.1,0.75,0.25
