,Avg pct similar neighbors,Intolerance,wealth_intolerance
0,0.0,0.25,0.75
1,0.0,0.25,0.75
2,62.8,0.25,0.75
3,65.2,0.25,0.75
4,66.2,0.25,0.75
5,66.8,0.25,0.75
6,67.6,0.25,0.75
7,67.8,0.25,0.75
8,68.4,0.25,0.75
9,69.0,0.25,0.75
10,69.1,0.25,0.75
11,68.8,0.25,0.75
12,69.1,0.25,0.75
13,68.9,0.25,0.75
14,69.3,0.25,0.75
15,69.3,0.25,0.75
16,69.1,0.25,0.75
17,69.2,0.25,0.75
18,69.3,0.25,0.75
19,69.3,0.25,0.75
20,69.3,0.25,0.75
21,69.2,0.25,0.75
22,69.3,0.25,0.75
23,69.5,0.25,0.75
24,69.2,0.25,0.75
25,69.2,0.25,0.75
26,69.3,0.25,0.75
27,69.3,0.25,0.75
28,69.3,0.25,0.75
29,69.1,0.25,0.75
30,69.4,0.25,0.75
31,69.3,0.25,0.75
32,69.2,0.25,0.75
33,69.3,0.25,0.75
34,69.5,0.25,0.75
35,69.3,0.25,0.75
36,69.3,0.25,0.75
37,69.4,0.25,0.75
38,69.3,0.25,0.75
39,69.3,0.25,0.75
40,69.3,0.25,0.75
41,69.4,0.25,0.75
42,69.3,0.25,0.75
43,69.4,0.25,0.75
44,69.4,0.25,0.75
45,69.3,0.25,0.75
46,69.3,0.25,0.75
47,69.4,0.25,0.75
48,69.4,0.25,0.75
49,69.5,0.25,0.75
50,69.4,0.25,0.75
